Address,Post Code,City,Type of property,Property Subtype,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Terrace,Terrace Area,Garden,Garden Area,Number of facades,Swimming pool,State of the building
Address,Post Code,City,Type of property,Property Subtype,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Terrace,Terrace Area,Garden,Garden Area,Number of facades,Swimming pool,State of the building
 Gentsesteenweg 58  ,8530,Harelbeke,house,Residence,185.000,sale,2,133 m²,No,No,No,,No,,,No,
 Veldstraat 22  ,8020,Oostkamp,house,Residence,950,rent,4,,Yes,No,No,,No,,No,No,From 01/04/2021
 Rue de Hollogne 141  ,4101,Jemeppe,house,Residence,120.000,sale,4,147 m²,No,No,Yes,,No,,Yes,No,
 J. en M. Sabbestraat 131  ,8930,Menen,house,Residence,242.000,sale,5,216 m²,No,No,No,,No,,No,No,On contract
 Bremstraat 37  ,2340,Beerse,house,Residence,250.000,sale,3,119 m²,No,No,Yes,,No,,Yes,No,No
 Bulskampstraat 66  ,8630,Veurne,house,Residence,229.000,sale,4,166 m²,No,No,Yes,,Yes,,,No,
 Rapaertstraat   ,8020,Hertsberge,house,Residence,378.500,sale,5,210 m²,Yes,No,No,,Yes,,,No,2021
,1420,Braine-l'Alleud,house,Villa,2.850.000,sale,6,900 m²,Yes,No,No,,No,,No,No,1993
 Sint-Andrieshof 46  ,8970,Poperinge,house,Villa,695.000,sale,6,329 m²,No,No,No,,No,,,No,2006
,5100,Jambes,house,Residence,219.000,sale,2,90 m²,Yes,Yes,Yes,Yes,No,,,No,On contract
 Hoogplaatsstraat 49  ,8510,Kooigem,house,Residence,330.000,sale,3,,No,No,No,,No,,,No,2013
 Albert I laan 68 102 ,8620,Nieuwpoort,apartment,Flat,490.000,sale,2,97 m²,No,No,Yes,Yes,No,,Yes,No,2019
 Moulin 22  ,6150,Anderlues,house,Villa,120.000,sale,4,180 m²,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
,7110,Maurage,house,Residence,163.000,sale,2,100 m²,No,No,Yes,Yes,No,,Yes,No,
,7134,Leval-Trahegnies,house,Residence,30.000,sale,5,172 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1899
 Roeselaarsestraat 47  ,8501,Heule,house,Residence,179.000,sale,2,106 m²,No,No,No,,No,,,No,
 Kardinaal Cardijnstraat 10  ,2840,Rumst,house,Mixed,539.000,sale,5,185 m²,Yes,No,Yes,Yes,No,,Yes,No,No
 Schaperijstraat 51  ,9900,Eeklo,house,Residence,115.000,sale,2,115 m²,Yes,No,No,,Yes,Yes,,No,Immediately
 Rue des Bouillons 81  ,6060,Gilly,house,Residence,259.000,sale,3,135 m²,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
,6040,Jumet,house,Villa,330.000,sale,3,,No,Yes,Yes,,No,,Yes,Yes,
Address,Post Code,City,Type of property,Property Subtype,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Terrace,Terrace Area,Garden,Garden Area,Number of facades,Swimming pool,State of the building
 Bremstraat 37  ,2340,Beerse,house,Residence,250.000,sale,3,119 m²,No,No,Yes,,No,,Yes,No,No
 Bulskampstraat 66  ,8630,Veurne,house,Residence,229.000,sale,4,166 m²,No,No,Yes,,Yes,,,No,
 Rapaertstraat   ,8020,Hertsberge,house,Residence,378.500,sale,5,210 m²,Yes,No,No,,Yes,,,No,2021
,1420,Braine-l'Alleud,house,Villa,2.850.000,sale,6,900 m²,Yes,No,No,,No,,No,No,1993
 Sint-Andrieshof 46  ,8970,Poperinge,house,Villa,695.000,sale,6,329 m²,No,No,No,,No,,,No,2006
 Gentsesteenweg 58  ,8530,Harelbeke,house,Residence,185.000,sale,2,133 m²,No,No,No,,No,,,No,
 Boeschepestraat 116  ,8970,Poperinge,house,Residence,216.500,sale,3,180 m²,Yes,No,No,,No,,No,No,On contract
 Vredelaan 153  ,1982,Weerde,house,Residence,339.000,sale,3,179 m²,Yes,Yes,Yes,,No,,Yes,No,No
,5100,Jambes,house,Residence,219.000,sale,2,90 m²,Yes,Yes,Yes,Yes,No,,,No,On contract
 Hoogplaatsstraat 49  ,8510,Kooigem,house,Residence,330.000,sale,3,,No,No,No,,No,,,No,2013
 Rue de Gozee 94  ,6110,Montigny-le-Tilleul,house,Master,280.000,sale,6,280 m²,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
 D?sir? Fi?v?straat 41  ,9000,Gent,house,Residence,395.000,sale,4,161 m²,Yes,No,No,,No,,,No,
 Moulin 22  ,6150,Anderlues,house,Villa,120.000,sale,4,180 m²,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
 Drie Veldenweg 64  ,9300,Aalst,house,Residence,215.000,sale,3,140 m²,Yes,No,Yes,Yes,No,,Yes,No,On contract
 Hugo Verrieststraat 25  ,2850,Boom,house,Residence,155.000,sale,2,90 m²,No,No,Yes,,No,,Yes,No,No
 Spanjestraat 216  ,8800,Roeselare,house,Residence,219.000,sale,3,147 m²,Yes,No,No,,No,,No,No,
,7134,Leval-Trahegnies,house,Residence,30.000,sale,5,172 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1899
,7110,Maurage,house,Residence,163.000,sale,2,100 m²,No,No,Yes,Yes,No,,Yes,No,
 Roeselaarsestraat 47  ,8501,Heule,house,Residence,179.000,sale,2,106 m²,No,No,No,,No,,,No,
 Kardinaal Cardijnstraat 10  ,2840,Rumst,house,Mixed,539.000,sale,5,185 m²,Yes,No,Yes,Yes,No,,Yes,No,No
 Schaperijstraat 51  ,9900,Eeklo,house,Residence,115.000,sale,2,115 m²,Yes,No,No,,Yes,Yes,,No,Immediately
,6040,Jumet,house,Villa,330.000,sale,3,,No,Yes,Yes,,No,,Yes,Yes,
 Rue des Bouillons 81  ,6060,Gilly,house,Residence,259.000,sale,3,135 m²,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
 Rue de Hollogne 141  ,4101,Jemeppe,house,Residence,120.000,sale,4,147 m²,No,No,Yes,,No,,Yes,No,
 J. en M. Sabbestraat 131  ,8930,Menen,house,Residence,242.000,sale,5,216 m²,No,No,No,,No,,No,No,On contract
